INFO:root:Directory output/GC7M created, training output will be saved here
INFO:root:Copied config file!
INFO:root:Copied the Generator and Discriminator files
INFO:root:Data size is 974677 images
INFO:root:Is GPU available? True
INFO:root:Starting Training Loop...
INFO:root:[0/1000][3300/7615]	Loss_D: 0.3372	Loss_G: 2.9650	D(x): 0.7970	D(G(z)): 0.0704 / 0.0744	Time: 60.20s
INFO:root:[0/1000][3350/7615]	Loss_D: 0.3205	Loss_G: 4.8254	D(x): 0.9612	D(G(z)): 0.2202 / 0.0120	Time: 61.25s
INFO:root:[0/1000][3400/7615]	Loss_D: 0.3433	Loss_G: 3.0445	D(x): 0.7569	D(G(z)): 0.0225 / 0.0761	Time: 63.69s
INFO:root:[0/1000][3450/7615]	Loss_D: 0.7566	Loss_G: 3.6531	D(x): 0.8818	D(G(z)): 0.3912 / 0.0465	Time: 60.13s
INFO:root:[0/1000][3500/7615]	Loss_D: 0.3240	Loss_G: 4.8894	D(x): 0.9169	D(G(z)): 0.1925 / 0.0102	Time: 60.44s
INFO:root:[0/1000][3550/7615]	Loss_D: 0.3730	Loss_G: 4.7609	D(x): 0.9430	D(G(z)): 0.2363 / 0.0143	Time: 59.71s
INFO:root:[0/1000][3600/7615]	Loss_D: 0.1489	Loss_G: 3.4123	D(x): 0.9024	D(G(z)): 0.0351 / 0.0524	Time: 63.38s
INFO:root:[0/1000][3650/7615]	Loss_D: 0.2927	Loss_G: 4.1543	D(x): 0.7951	D(G(z)): 0.0256 / 0.0273	Time: 60.68s
INFO:root:[0/1000][3700/7615]	Loss_D: 0.1941	Loss_G: 4.0494	D(x): 0.9776	D(G(z)): 0.1429 / 0.0299	Time: 59.42s
INFO:root:[0/1000][3750/7615]	Loss_D: 1.6461	Loss_G: 8.5562	D(x): 0.9981	D(G(z)): 0.7024 / 0.0005	Time: 60.43s
INFO:root:[0/1000][3800/7615]	Loss_D: 0.2477	Loss_G: 3.8282	D(x): 0.8646	D(G(z)): 0.0779 / 0.0386	Time: 63.02s
INFO:root:[0/1000][3850/7615]	Loss_D: 0.1737	Loss_G: 4.4619	D(x): 0.9060	D(G(z)): 0.0570 / 0.0194	Time: 60.00s
INFO:root:[0/1000][3900/7615]	Loss_D: 0.2700	Loss_G: 2.9122	D(x): 0.8661	D(G(z)): 0.0839 / 0.0938	Time: 64.54s
INFO:root:[0/1000][3950/7615]	Loss_D: 0.8790	Loss_G: 7.1150	D(x): 0.9522	D(G(z)): 0.4759 / 0.0027	Time: 64.33s
INFO:root:[0/1000][4000/7615]	Loss_D: 0.3509	Loss_G: 3.9074	D(x): 0.7499	D(G(z)): 0.0089 / 0.0402	Time: 63.01s
INFO:root:[0/1000][4050/7615]	Loss_D: 0.5462	Loss_G: 6.0250	D(x): 0.9510	D(G(z)): 0.3409 / 0.0046	Time: 59.62s
INFO:root:[0/1000][4100/7615]	Loss_D: 0.3542	Loss_G: 4.0910	D(x): 0.7426	D(G(z)): 0.0064 / 0.0419	Time: 60.81s
INFO:root:[0/1000][4150/7615]	Loss_D: 0.1707	Loss_G: 3.1986	D(x): 0.9407	D(G(z)): 0.0923 / 0.0685	Time: 61.03s
INFO:root:[0/1000][4200/7615]	Loss_D: 0.1982	Loss_G: 3.6564	D(x): 0.9302	D(G(z)): 0.1051 / 0.0434	Time: 63.42s
INFO:root:[0/1000][4250/7615]	Loss_D: 1.9843	Loss_G: 10.3666	D(x): 0.9923	D(G(z)): 0.7661 / 0.0001	Time: 59.79s
INFO:root:[0/1000][4300/7615]	Loss_D: 0.2322	Loss_G: 2.8102	D(x): 0.8784	D(G(z)): 0.0815 / 0.1031	Time: 61.96s
INFO:root:[0/1000][4350/7615]	Loss_D: 0.1242	Loss_G: 4.4750	D(x): 0.9129	D(G(z)): 0.0210 / 0.0180	Time: 61.48s
INFO:root:[0/1000][4400/7615]	Loss_D: 0.2116	Loss_G: 5.1021	D(x): 0.9536	D(G(z)): 0.1346 / 0.0101	Time: 61.73s
INFO:root:[0/1000][4450/7615]	Loss_D: 3.9486	Loss_G: 8.9277	D(x): 0.9996	D(G(z)): 0.9259 / 0.0011	Time: 61.79s
INFO:root:[0/1000][4500/7615]	Loss_D: 0.3748	Loss_G: 3.5532	D(x): 0.7727	D(G(z)): 0.0664 / 0.0481	Time: 60.28s
INFO:root:[0/1000][4550/7615]	Loss_D: 0.2448	Loss_G: 2.6064	D(x): 0.8426	D(G(z)): 0.0460 / 0.1049	Time: 60.85s
INFO:root:[0/1000][4600/7615]	Loss_D: 0.9152	Loss_G: 6.8648	D(x): 0.9318	D(G(z)): 0.4634 / 0.0024	Time: 61.63s
INFO:root:[0/1000][4650/7615]	Loss_D: 0.2151	Loss_G: 3.0239	D(x): 0.8509	D(G(z)): 0.0322 / 0.0710	Time: 62.01s
INFO:root:[0/1000][4700/7615]	Loss_D: 0.2258	Loss_G: 3.4139	D(x): 0.8914	D(G(z)): 0.0892 / 0.0468	Time: 60.61s
INFO:root:[0/1000][4750/7615]	Loss_D: 0.2451	Loss_G: 2.0927	D(x): 0.8263	D(G(z)): 0.0286 / 0.1784	Time: 60.21s
INFO:root:[0/1000][4800/7615]	Loss_D: 0.3277	Loss_G: 2.2602	D(x): 0.8109	D(G(z)): 0.0617 / 0.1652	Time: 63.37s
INFO:root:[0/1000][4850/7615]	Loss_D: 0.1709	Loss_G: 3.5743	D(x): 0.8852	D(G(z)): 0.0365 / 0.0432	Time: 60.68s
INFO:root:[0/1000][4900/7615]	Loss_D: 0.1906	Loss_G: 3.9829	D(x): 0.9113	D(G(z)): 0.0765 / 0.0320	Time: 60.99s
INFO:root:[0/1000][4950/7615]	Loss_D: 0.4131	Loss_G: 3.4390	D(x): 0.8064	D(G(z)): 0.1313 / 0.0574	Time: 61.21s
INFO:root:[0/1000][5000/7615]	Loss_D: 0.1878	Loss_G: 3.8287	D(x): 0.9223	D(G(z)): 0.0888 / 0.0336	Time: 63.80s
INFO:root:[0/1000][5050/7615]	Loss_D: 0.2667	Loss_G: 5.2105	D(x): 0.9853	D(G(z)): 0.1999 / 0.0093	Time: 60.07s
INFO:root:[0/1000][5100/7615]	Loss_D: 0.5043	Loss_G: 4.5383	D(x): 0.8637	D(G(z)): 0.2540 / 0.0174	Time: 60.21s
INFO:root:[0/1000][5150/7615]	Loss_D: 0.4181	Loss_G: 2.0285	D(x): 0.7289	D(G(z)): 0.0303 / 0.1935	Time: 61.03s
INFO:root:[0/1000][5200/7615]	Loss_D: 0.1530	Loss_G: 3.4709	D(x): 0.9256	D(G(z)): 0.0651 / 0.0460	Time: 63.21s
INFO:root:[0/1000][5250/7615]	Loss_D: 0.1851	Loss_G: 3.7653	D(x): 0.9678	D(G(z)): 0.1312 / 0.0355	Time: 59.79s
INFO:root:[0/1000][5300/7615]	Loss_D: 1.4131	Loss_G: 2.5287	D(x): 0.5630	D(G(z)): 0.3352 / 0.3401	Time: 61.07s
INFO:root:[0/1000][5350/7615]	Loss_D: 0.3219	Loss_G: 1.8351	D(x): 0.7969	D(G(z)): 0.0657 / 0.2075	Time: 61.39s
INFO:root:[0/1000][5400/7615]	Loss_D: 0.3684	Loss_G: 3.0177	D(x): 0.7400	D(G(z)): 0.0169 / 0.0849	Time: 61.38s
INFO:root:[0/1000][5450/7615]	Loss_D: 0.1615	Loss_G: 4.3294	D(x): 0.9579	D(G(z)): 0.1009 / 0.0214	Time: 63.51s
INFO:root:[0/1000][5500/7615]	Loss_D: 0.5094	Loss_G: 4.4837	D(x): 0.7729	D(G(z)): 0.1320 / 0.0278	Time: 60.44s
INFO:root:[0/1000][5550/7615]	Loss_D: 0.2851	Loss_G: 4.0342	D(x): 0.9446	D(G(z)): 0.1746 / 0.0298	Time: 60.15s
INFO:root:[0/1000][5600/7615]	Loss_D: 0.4212	Loss_G: 3.0055	D(x): 0.7865	D(G(z)): 0.1033 / 0.0793	Time: 60.92s
INFO:root:[0/1000][5650/7615]	Loss_D: 0.2504	Loss_G: 4.4353	D(x): 0.9696	D(G(z)): 0.1790 / 0.0197	Time: 63.98s
INFO:root:[0/1000][5700/7615]	Loss_D: 0.2043	Loss_G: 3.5645	D(x): 0.9176	D(G(z)): 0.1018 / 0.0465	Time: 59.08s
INFO:root:[0/1000][5750/7615]	Loss_D: 0.1941	Loss_G: 4.5129	D(x): 0.9644	D(G(z)): 0.1363 / 0.0158	Time: 60.87s
INFO:root:[0/1000][5800/7615]	Loss_D: 0.1268	Loss_G: 4.9435	D(x): 0.9815	D(G(z)): 0.0947 / 0.0112	Time: 61.57s
INFO:root:[0/1000][5850/7615]	Loss_D: 1.3178	Loss_G: 1.9174	D(x): 0.4180	D(G(z)): 0.0409 / 0.2787	Time: 63.19s
INFO:root:[0/1000][5900/7615]	Loss_D: 0.2303	Loss_G: 2.7510	D(x): 0.8597	D(G(z)): 0.0594 / 0.0929	Time: 60.31s
INFO:root:[0/1000][5950/7615]	Loss_D: 0.3164	Loss_G: 4.2596	D(x): 0.9423	D(G(z)): 0.2054 / 0.0210	Time: 60.63s
INFO:root:[0/1000][6000/7615]	Loss_D: 0.8103	Loss_G: 5.8699	D(x): 0.9513	D(G(z)): 0.4485 / 0.0086	Time: 59.47s
INFO:root:[0/1000][6050/7615]	Loss_D: 0.2355	Loss_G: 2.9489	D(x): 0.8646	D(G(z)): 0.0642 / 0.0767	Time: 63.30s
INFO:root:[0/1000][6100/7615]	Loss_D: 0.3950	Loss_G: 2.6150	D(x): 0.7229	D(G(z)): 0.0184 / 0.1188	Time: 61.10s
INFO:root:[0/1000][6150/7615]	Loss_D: 0.2344	Loss_G: 4.4793	D(x): 0.9580	D(G(z)): 0.1622 / 0.0171	Time: 59.08s
INFO:root:[0/1000][6200/7615]	Loss_D: 0.2029	Loss_G: 4.6691	D(x): 0.9467	D(G(z)): 0.1203 / 0.0137	Time: 61.90s
INFO:root:[0/1000][6250/7615]	Loss_D: 0.5151	Loss_G: 2.4118	D(x): 0.6808	D(G(z)): 0.0375 / 0.1506	Time: 60.83s
INFO:root:[0/1000][6300/7615]	Loss_D: 0.3146	Loss_G: 4.7564	D(x): 0.9530	D(G(z)): 0.2123 / 0.0126	Time: 59.71s
INFO:root:[0/1000][6350/7615]	Loss_D: 0.4209	Loss_G: 5.2099	D(x): 0.9758	D(G(z)): 0.2820 / 0.0097	Time: 60.47s
INFO:root:[0/1000][6400/7615]	Loss_D: 0.2170	Loss_G: 4.8955	D(x): 0.9774	D(G(z)): 0.1631 / 0.0118	Time: 63.81s
INFO:root:[0/1000][6450/7615]	Loss_D: 0.4369	Loss_G: 5.3769	D(x): 0.9430	D(G(z)): 0.2781 / 0.0083	Time: 62.01s
INFO:root:[0/1000][6500/7615]	Loss_D: 0.1579	Loss_G: 3.7641	D(x): 0.9327	D(G(z)): 0.0781 / 0.0336	Time: 59.96s
INFO:root:[0/1000][6550/7615]	Loss_D: 0.1589	Loss_G: 3.8149	D(x): 0.9256	D(G(z)): 0.0715 / 0.0333	Time: 61.49s
INFO:root:[0/1000][6600/7615]	Loss_D: 0.1962	Loss_G: 3.3065	D(x): 0.9232	D(G(z)): 0.0997 / 0.0511	Time: 61.11s
INFO:root:[0/1000][6650/7615]	Loss_D: 0.2513	Loss_G: 3.6086	D(x): 0.9083	D(G(z)): 0.1231 / 0.0381	Time: 62.78s
INFO:root:[0/1000][6700/7615]	Loss_D: 0.4442	Loss_G: 2.7446	D(x): 0.7281	D(G(z)): 0.0480 / 0.1170	Time: 60.71s
INFO:root:[0/1000][6750/7615]	Loss_D: 0.2171	Loss_G: 2.8681	D(x): 0.8512	D(G(z)): 0.0363 / 0.0857	Time: 60.66s
INFO:root:[0/1000][6800/7615]	Loss_D: 1.0891	Loss_G: 0.0854	D(x): 0.4155	D(G(z)): 0.0046 / 0.9220	Time: 62.05s
INFO:root:[0/1000][6850/7615]	Loss_D: 0.7039	Loss_G: 6.3429	D(x): 0.9775	D(G(z)): 0.4311 / 0.0031	Time: 62.48s
INFO:root:[0/1000][6900/7615]	Loss_D: 0.2246	Loss_G: 3.5166	D(x): 0.9369	D(G(z)): 0.1360 / 0.0445	Time: 60.78s
INFO:root:[0/1000][6950/7615]	Loss_D: 0.2858	Loss_G: 4.7386	D(x): 0.9386	D(G(z)): 0.1802 / 0.0135	Time: 61.00s
INFO:root:[0/1000][7000/7615]	Loss_D: 0.5570	Loss_G: 0.9916	D(x): 0.6400	D(G(z)): 0.0087 / 0.4513	Time: 61.47s
INFO:root:[0/1000][7050/7615]	Loss_D: 0.2354	Loss_G: 3.7241	D(x): 0.9305	D(G(z)): 0.1350 / 0.0363	Time: 62.57s
INFO:root:[0/1000][7100/7615]	Loss_D: 0.1551	Loss_G: 3.1288	D(x): 0.8958	D(G(z)): 0.0330 / 0.0698	Time: 60.63s
INFO:root:[0/1000][7150/7615]	Loss_D: 0.2791	Loss_G: 3.7625	D(x): 0.8688	D(G(z)): 0.1086 / 0.0406	Time: 61.37s
INFO:root:[0/1000][7200/7615]	Loss_D: 0.5540	Loss_G: 3.1541	D(x): 0.8541	D(G(z)): 0.2737 / 0.0635	Time: 61.49s
INFO:root:[0/1000][7250/7615]	Loss_D: 0.1763	Loss_G: 3.9830	D(x): 0.9329	D(G(z)): 0.0925 / 0.0293	Time: 61.86s
INFO:root:[0/1000][7300/7615]	Loss_D: 0.1302	Loss_G: 3.7915	D(x): 0.9456	D(G(z)): 0.0666 / 0.0349	Time: 60.91s
INFO:root:[0/1000][7350/7615]	Loss_D: 0.2845	Loss_G: 3.0110	D(x): 0.8463	D(G(z)): 0.0906 / 0.0764	Time: 60.38s
INFO:root:[0/1000][7400/7615]	Loss_D: 0.1398	Loss_G: 3.8359	D(x): 0.9246	D(G(z)): 0.0521 / 0.0312	Time: 61.63s
INFO:root:[0/1000][7450/7615]	Loss_D: 0.1196	Loss_G: 4.5068	D(x): 0.9143	D(G(z)): 0.0233 / 0.0203	Time: 63.93s
INFO:root:[0/1000][7500/7615]	Loss_D: 0.9534	Loss_G: 2.0796	D(x): 0.4755	D(G(z)): 0.0066 / 0.1864	Time: 61.58s
INFO:root:[0/1000][7550/7615]	Loss_D: 0.2086	Loss_G: 2.7325	D(x): 0.8605	D(G(z)): 0.0404 / 0.0935	Time: 59.65s
INFO:root:[0/1000][7600/7615]	Loss_D: 0.1489	Loss_G: 3.2249	D(x): 0.9217	D(G(z)): 0.0541 / 0.0602	Time: 60.47s
INFO:root:Saving fake images
INFO:root:output/GC7M/images/fake_epoch_0.png
INFO:root:[1/1000][0/7615]	Loss_D: 0.1051	Loss_G: 4.0681	D(x): 0.9511	D(G(z)): 0.0501 / 0.0298	Time: 7.93s
INFO:root:[1/1000][50/7615]	Loss_D: 0.4733	Loss_G: 6.4632	D(x): 0.9901	D(G(z)): 0.3271 / 0.0024	Time: 52.67s
INFO:root:[1/1000][100/7615]	Loss_D: 0.1319	Loss_G: 4.4058	D(x): 0.9634	D(G(z)): 0.0830 / 0.0194	Time: 57.64s
INFO:root:[1/1000][150/7615]	Loss_D: 0.3579	Loss_G: 7.2697	D(x): 0.9788	D(G(z)): 0.2581 / 0.0013	Time: 59.17s
INFO:root:[1/1000][200/7615]	Loss_D: 0.2259	Loss_G: 4.1727	D(x): 0.8805	D(G(z)): 0.0758 / 0.0268	Time: 60.85s
INFO:root:[1/1000][250/7615]	Loss_D: 0.1394	Loss_G: 3.3893	D(x): 0.9334	D(G(z)): 0.0625 / 0.0527	Time: 60.42s
INFO:root:[1/1000][300/7615]	Loss_D: 0.1046	Loss_G: 4.1355	D(x): 0.9461	D(G(z)): 0.0432 / 0.0242	Time: 60.27s
INFO:root:[1/1000][350/7615]	Loss_D: 0.7124	Loss_G: 5.5903	D(x): 0.9188	D(G(z)): 0.3971 / 0.0077	Time: 60.90s
INFO:root:[1/1000][400/7615]	Loss_D: 0.3303	Loss_G: 2.5386	D(x): 0.7699	D(G(z)): 0.0194 / 0.1142	Time: 61.73s
INFO:root:[1/1000][450/7615]	Loss_D: 0.3677	Loss_G: 3.2440	D(x): 0.7710	D(G(z)): 0.0421 / 0.0689	Time: 60.94s
INFO:root:[1/1000][500/7615]	Loss_D: 0.2636	Loss_G: 4.8695	D(x): 0.9778	D(G(z)): 0.1960 / 0.0110	Time: 58.78s
INFO:root:[1/1000][550/7615]	Loss_D: 0.1297	Loss_G: 3.4272	D(x): 0.9306	D(G(z)): 0.0506 / 0.0480	Time: 60.66s
