INFO:root:Directory output/3CK2 created, training output will be saved here
INFO:root:Copied config file!
INFO:root:Copied the Generator and Discriminator files
INFO:root:Data size is 974677 images
INFO:root:Is GPU available? True
INFO:root:Starting Training Loop...
INFO:root:[0/1000][5550/7615]	Loss_D: 0.3524	Loss_G: 3.8210	D(x): 0.7966	D(G(z)): 0.0742 / 0.0403	Time: 75.50s
INFO:root:[0/1000][5600/7615]	Loss_D: 0.5021	Loss_G: 5.2531	D(x): 0.9377	D(G(z)): 0.3113 / 0.0100	Time: 75.38s
INFO:root:[0/1000][5650/7615]	Loss_D: 0.2237	Loss_G: 2.4473	D(x): 0.9016	D(G(z)): 0.0956 / 0.1224	Time: 75.36s
INFO:root:[0/1000][5700/7615]	Loss_D: 2.1432	Loss_G: 1.4319	D(x): 0.2236	D(G(z)): 0.0018 / 0.3466	Time: 75.45s
INFO:root:[0/1000][5750/7615]	Loss_D: 0.3812	Loss_G: 2.2467	D(x): 0.7696	D(G(z)): 0.0687 / 0.1410	Time: 75.48s
INFO:root:[0/1000][5800/7615]	Loss_D: 0.5191	Loss_G: 3.2155	D(x): 0.9032	D(G(z)): 0.2804 / 0.0833	Time: 75.56s
INFO:root:[0/1000][5850/7615]	Loss_D: 0.3998	Loss_G: 4.2476	D(x): 0.9413	D(G(z)): 0.2468 / 0.0238	Time: 75.33s
INFO:root:[0/1000][5900/7615]	Loss_D: 0.3415	Loss_G: 2.4465	D(x): 0.8799	D(G(z)): 0.1547 / 0.1275	Time: 75.46s
INFO:root:[0/1000][5950/7615]	Loss_D: 1.3680	Loss_G: 0.3958	D(x): 0.3520	D(G(z)): 0.0069 / 0.7242	Time: 75.55s
INFO:root:[0/1000][6000/7615]	Loss_D: 0.4751	Loss_G: 5.1599	D(x): 0.9389	D(G(z)): 0.3009 / 0.0094	Time: 75.62s
INFO:root:[0/1000][6050/7615]	Loss_D: 0.4434	Loss_G: 5.1817	D(x): 0.9518	D(G(z)): 0.2932 / 0.0095	Time: 76.08s
INFO:root:[0/1000][6100/7615]	Loss_D: 0.3240	Loss_G: 2.9293	D(x): 0.8688	D(G(z)): 0.1270 / 0.0808	Time: 76.26s
INFO:root:[0/1000][6150/7615]	Loss_D: 0.5584	Loss_G: 4.8314	D(x): 0.9665	D(G(z)): 0.3592 / 0.0149	Time: 76.10s
INFO:root:[0/1000][6200/7615]	Loss_D: 0.3097	Loss_G: 2.9829	D(x): 0.8164	D(G(z)): 0.0743 / 0.0819	Time: 76.44s
INFO:root:[0/1000][6250/7615]	Loss_D: 0.2773	Loss_G: 3.1658	D(x): 0.9336	D(G(z)): 0.1664 / 0.0735	Time: 75.72s
INFO:root:[0/1000][6300/7615]	Loss_D: 0.3185	Loss_G: 3.5456	D(x): 0.8450	D(G(z)): 0.1094 / 0.0506	Time: 75.64s
INFO:root:[0/1000][6350/7615]	Loss_D: 1.2149	Loss_G: 6.6550	D(x): 0.9407	D(G(z)): 0.5970 / 0.0027	Time: 75.34s
INFO:root:[0/1000][6400/7615]	Loss_D: 0.3005	Loss_G: 3.4959	D(x): 0.9153	D(G(z)): 0.1617 / 0.0522	Time: 75.32s
INFO:root:[0/1000][6450/7615]	Loss_D: 0.3037	Loss_G: 2.8591	D(x): 0.8115	D(G(z)): 0.0507 / 0.1006	Time: 75.42s
INFO:root:[0/1000][6500/7615]	Loss_D: 0.7303	Loss_G: 0.6780	D(x): 0.5555	D(G(z)): 0.0206 / 0.5728	Time: 75.49s
INFO:root:[0/1000][6550/7615]	Loss_D: 0.3584	Loss_G: 3.4298	D(x): 0.8857	D(G(z)): 0.1827 / 0.0413	Time: 75.51s
INFO:root:[0/1000][6600/7615]	Loss_D: 0.2435	Loss_G: 3.4610	D(x): 0.8592	D(G(z)): 0.0759 / 0.0459	Time: 75.35s
INFO:root:[0/1000][6650/7615]	Loss_D: 0.3181	Loss_G: 2.8484	D(x): 0.7828	D(G(z)): 0.0370 / 0.0918	Time: 75.52s
INFO:root:[0/1000][6700/7615]	Loss_D: 0.3065	Loss_G: 3.7306	D(x): 0.8761	D(G(z)): 0.1385 / 0.0368	Time: 75.80s
INFO:root:[0/1000][6750/7615]	Loss_D: 0.4484	Loss_G: 2.8305	D(x): 0.7175	D(G(z)): 0.0295 / 0.1063	Time: 76.03s
INFO:root:[0/1000][6800/7615]	Loss_D: 0.3727	Loss_G: 3.1485	D(x): 0.9280	D(G(z)): 0.2260 / 0.0688	Time: 75.35s
INFO:root:[0/1000][6850/7615]	Loss_D: 0.2488	Loss_G: 3.4437	D(x): 0.8822	D(G(z)): 0.1002 / 0.0530	Time: 75.35s
INFO:root:[0/1000][6900/7615]	Loss_D: 0.7092	Loss_G: 4.7173	D(x): 0.8916	D(G(z)): 0.3792 / 0.0159	Time: 75.40s
INFO:root:[0/1000][6950/7615]	Loss_D: 0.3837	Loss_G: 3.6174	D(x): 0.8611	D(G(z)): 0.1793 / 0.0409	Time: 75.35s
INFO:root:[0/1000][7000/7615]	Loss_D: 2.2949	Loss_G: 0.5312	D(x): 0.1910	D(G(z)): 0.0083 / 0.6465	Time: 75.35s
INFO:root:[0/1000][7050/7615]	Loss_D: 0.2814	Loss_G: 3.3851	D(x): 0.8501	D(G(z)): 0.0848 / 0.0611	Time: 75.43s
INFO:root:[0/1000][7100/7615]	Loss_D: 0.5818	Loss_G: 5.5938	D(x): 0.9771	D(G(z)): 0.3866 / 0.0056	Time: 75.37s
INFO:root:[0/1000][7150/7615]	Loss_D: 0.2304	Loss_G: 4.2417	D(x): 0.9647	D(G(z)): 0.1644 / 0.0207	Time: 75.33s
INFO:root:[0/1000][7200/7615]	Loss_D: 0.2425	Loss_G: 3.5620	D(x): 0.9381	D(G(z)): 0.1452 / 0.0424	Time: 75.36s
INFO:root:[0/1000][7250/7615]	Loss_D: 0.2278	Loss_G: 2.5718	D(x): 0.8912	D(G(z)): 0.0864 / 0.1178	Time: 75.33s
INFO:root:[0/1000][7300/7615]	Loss_D: 0.4607	Loss_G: 2.8572	D(x): 0.8180	D(G(z)): 0.1814 / 0.0939	Time: 75.39s
INFO:root:[0/1000][7350/7615]	Loss_D: 0.2487	Loss_G: 3.3695	D(x): 0.8867	D(G(z)): 0.1018 / 0.0516	Time: 75.96s
INFO:root:[0/1000][7400/7615]	Loss_D: 0.1865	Loss_G: 4.3114	D(x): 0.9443	D(G(z)): 0.1125 / 0.0219	Time: 76.18s
INFO:root:[0/1000][7450/7615]	Loss_D: 0.4584	Loss_G: 2.3239	D(x): 0.7526	D(G(z)): 0.1040 / 0.1468	Time: 76.26s
INFO:root:[0/1000][7500/7615]	Loss_D: 0.2792	Loss_G: 2.0793	D(x): 0.8203	D(G(z)): 0.0523 / 0.1702	Time: 76.28s
INFO:root:[0/1000][7550/7615]	Loss_D: 0.2315	Loss_G: 3.0228	D(x): 0.8795	D(G(z)): 0.0847 / 0.0674	Time: 76.16s
INFO:root:[0/1000][7600/7615]	Loss_D: 0.4368	Loss_G: 2.6007	D(x): 0.7107	D(G(z)): 0.0198 / 0.1178	Time: 76.21s
INFO:root:Saving fake images
INFO:root:output/3CK2/images/fake_epoch_0.png
INFO:root:[1/1000][0/7615]	Loss_D: 0.4452	Loss_G: 5.7506	D(x): 0.9620	D(G(z)): 0.2937 / 0.0052	Time: 8.67s
INFO:root:[1/1000][50/7615]	Loss_D: 0.6276	Loss_G: 1.5035	D(x): 0.6260	D(G(z)): 0.0715 / 0.3063	Time: 76.35s
INFO:root:[1/1000][100/7615]	Loss_D: 0.2858	Loss_G: 3.2252	D(x): 0.8647	D(G(z)): 0.1109 / 0.0612	Time: 76.34s
INFO:root:[1/1000][150/7615]	Loss_D: 0.2135	Loss_G: 4.1293	D(x): 0.9576	D(G(z)): 0.1391 / 0.0272	Time: 76.32s
INFO:root:[1/1000][200/7615]	Loss_D: 0.8231	Loss_G: 7.9847	D(x): 0.9938	D(G(z)): 0.4873 / 0.0008	Time: 76.28s
INFO:root:[1/1000][250/7615]	Loss_D: 0.3185	Loss_G: 2.8741	D(x): 0.8708	D(G(z)): 0.1364 / 0.0944	Time: 76.16s
INFO:root:[1/1000][300/7615]	Loss_D: 0.3072	Loss_G: 3.5431	D(x): 0.8760	D(G(z)): 0.1424 / 0.0450	Time: 76.22s
INFO:root:[1/1000][350/7615]	Loss_D: 0.7603	Loss_G: 4.9517	D(x): 0.9435	D(G(z)): 0.4409 / 0.0121	Time: 76.23s
INFO:root:[1/1000][400/7615]	Loss_D: 0.3276	Loss_G: 2.2310	D(x): 0.7789	D(G(z)): 0.0480 / 0.1445	Time: 76.30s
INFO:root:[1/1000][450/7615]	Loss_D: 0.3018	Loss_G: 3.2828	D(x): 0.9034	D(G(z)): 0.1605 / 0.0553	Time: 76.21s
INFO:root:[1/1000][500/7615]	Loss_D: 0.6063	Loss_G: 2.0914	D(x): 0.6754	D(G(z)): 0.0819 / 0.2020	Time: 76.18s
INFO:root:[1/1000][550/7615]	Loss_D: 0.1988	Loss_G: 2.6196	D(x): 0.8889	D(G(z)): 0.0676 / 0.0991	Time: 76.21s
